               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.075528,            0.018442,            0.019935,             0.38186,                0.45,              0.3408,            0.059445,            0.061746,           0.0092889,            0.016194,           0.0072186,           0.0072186,           0.0072186
                  61,            0.068781,            0.016958,            0.020003,             0.57152,                0.75,             0.73892,             0.20448,            0.049268,           0.0097692,            0.014029,           0.0071714,           0.0071714,           0.0071714
                  62,            0.058928,            0.016387,            0.016536,             0.57152,                0.75,             0.73892,             0.20448,            0.049268,           0.0097692,            0.014029,           0.0071243,           0.0071243,           0.0071243
                  63,             0.05604,            0.018676,             0.01651,              0.5043,                 0.6,             0.61659,             0.19517,            0.052772,           0.0095315,            0.013387,           0.0070771,           0.0070771,           0.0070771
                  64,            0.058794,            0.019295,            0.023379,              0.5043,                 0.6,             0.61659,             0.19517,            0.052772,           0.0095315,            0.013387,             0.00703,             0.00703,             0.00703
                  65,            0.064328,            0.012662,            0.013014,             0.72009,             0.77508,             0.77283,             0.25277,            0.048414,           0.0095568,            0.011322,           0.0069829,           0.0069829,           0.0069829
                  66,            0.050867,            0.020138,            0.014362,             0.72009,             0.77508,             0.77283,             0.25277,            0.048414,           0.0095568,            0.011322,           0.0069357,           0.0069357,           0.0069357
                  67,            0.055125,            0.016395,            0.013333,             0.61762,             0.79767,             0.81767,              0.2579,            0.046607,           0.0095449,           0.0089368,           0.0068886,           0.0068886,           0.0068886
                  68,             0.05807,            0.016073,            0.015059,             0.61762,             0.79767,             0.81767,              0.2579,            0.046607,           0.0095449,           0.0089368,           0.0068414,           0.0068414,           0.0068414
                  69,            0.055885,            0.015836,            0.014897,             0.31011,                0.95,              0.4361,             0.10351,            0.054341,           0.0090682,           0.0077499,           0.0067943,           0.0067943,           0.0067943
                  70,            0.063279,            0.013356,             0.01189,             0.31011,                0.95,              0.4361,             0.10351,            0.054341,           0.0090682,           0.0077499,           0.0067471,           0.0067471,           0.0067471
                  71,            0.064108,            0.014813,            0.016333,             0.33001,             0.76774,             0.51015,             0.14996,            0.050598,           0.0095742,           0.0087184,              0.0067,              0.0067,              0.0067
                  72,            0.056291,            0.016684,            0.014396,             0.33001,             0.76774,             0.51015,             0.14996,            0.050598,           0.0095742,           0.0087184,           0.0066529,           0.0066529,           0.0066529
                  73,            0.057321,            0.014595,           0.0091462,             0.76011,                0.55,             0.60866,             0.12709,             0.05344,           0.0091613,           0.0095858,           0.0066057,           0.0066057,           0.0066057
                  74,            0.053009,            0.012807,            0.035502,             0.76011,                0.55,             0.60866,             0.12709,             0.05344,           0.0091613,           0.0095858,           0.0065586,           0.0065586,           0.0065586
                  75,            0.058479,            0.016161,            0.016031,             0.69044,             0.87161,             0.84775,             0.32266,            0.043674,           0.0093388,           0.0067099,           0.0065114,           0.0065114,           0.0065114
                  76,            0.050546,            0.014645,            0.012333,             0.69044,             0.87161,             0.84775,             0.32266,            0.043674,           0.0093388,           0.0067099,           0.0064643,           0.0064643,           0.0064643
                  77,            0.048735,            0.018274,           0.0098365,             0.61116,                 0.9,             0.74359,             0.31813,            0.046008,           0.0092744,           0.0066893,           0.0064171,           0.0064171,           0.0064171
                  78,            0.051872,            0.016567,            0.013861,             0.61116,                 0.9,             0.74359,             0.31813,            0.046008,           0.0092744,           0.0066893,             0.00637,             0.00637,             0.00637
                  79,            0.050496,            0.014907,            0.023615,             0.70562,                 0.7,             0.67705,              0.2854,             0.04831,           0.0095568,           0.0070173,           0.0063229,           0.0063229,           0.0063229
                  80,            0.056303,              0.0143,            0.011404,             0.70562,                 0.7,             0.67705,              0.2854,             0.04831,           0.0095568,           0.0070173,           0.0062757,           0.0062757,           0.0062757
                  81,            0.058525,            0.013239,            0.016661,             0.64398,             0.83186,             0.67859,             0.27284,            0.044645,            0.009175,           0.0086525,           0.0062286,           0.0062286,           0.0062286
                  82,            0.050858,            0.016728,            0.015794,             0.64398,             0.83186,             0.67859,             0.27284,            0.044645,            0.009175,           0.0086525,           0.0061814,           0.0061814,           0.0061814
                  83,            0.056369,            0.015452,            0.018318,              0.2881,             0.79804,             0.38517,            0.097669,            0.044162,           0.0094465,            0.009037,           0.0061343,           0.0061343,           0.0061343
                  84,            0.059977,            0.015213,            0.012509,              0.2881,             0.79804,             0.38517,            0.097669,            0.044162,           0.0094465,            0.009037,           0.0060871,           0.0060871,           0.0060871
                  85,            0.047743,            0.014234,           0.0098389,             0.66277,             0.77495,             0.70042,             0.30217,            0.043325,           0.0088243,           0.0087898,             0.00604,             0.00604,             0.00604
                  86,            0.053239,             0.01575,            0.012398,             0.66277,             0.77495,             0.70042,             0.30217,            0.043325,           0.0088243,           0.0087898,           0.0059929,           0.0059929,           0.0059929
                  87,            0.057906,            0.016749,            0.011441,             0.36962,                 0.8,             0.55506,             0.17067,            0.051872,           0.0087459,           0.0087453,           0.0059457,           0.0059457,           0.0059457
                  88,             0.05395,             0.01528,           0.0081144,             0.36962,                 0.8,             0.55506,             0.17067,            0.051872,           0.0087459,           0.0087453,           0.0058986,           0.0058986,           0.0058986
                  89,            0.056084,            0.017753,           0.0099943,             0.76805,                 0.7,             0.82087,             0.35848,            0.042498,            0.008613,           0.0085149,           0.0058514,           0.0058514,           0.0058514
                  90,            0.055498,            0.011169,           0.0096647,             0.76805,                 0.7,             0.82087,             0.35848,            0.042498,            0.008613,           0.0085149,           0.0058043,           0.0058043,           0.0058043
                  91,            0.054301,            0.016937,            0.010423,             0.79475,             0.81832,             0.83299,             0.29195,            0.038028,            0.008465,           0.0081815,           0.0057571,           0.0057571,           0.0057571
                  92,            0.050609,            0.016338,            0.009535,             0.79475,             0.81832,             0.83299,             0.29195,            0.038028,            0.008465,           0.0081815,             0.00571,             0.00571,             0.00571
                  93,            0.050149,            0.015923,           0.0082546,             0.90497,             0.84168,             0.91432,             0.42708,            0.040753,           0.0084016,           0.0072492,           0.0056629,           0.0056629,           0.0056629
                  94,            0.049826,            0.012149,           0.0090149,             0.90497,             0.84168,             0.91432,             0.42708,            0.040753,           0.0084016,           0.0072492,           0.0056157,           0.0056157,           0.0056157
                  95,            0.047465,            0.012428,            0.019646,             0.79401,                   1,             0.85817,             0.27936,            0.043489,           0.0079303,           0.0052641,           0.0055686,           0.0055686,           0.0055686
                  96,            0.054289,              0.0147,           0.0066276,             0.79401,                   1,             0.85817,             0.27936,            0.043489,           0.0079303,           0.0052641,           0.0055214,           0.0055214,           0.0055214
                  97,            0.059611,            0.014765,            0.011993,             0.73503,                   1,             0.88423,             0.35169,            0.035248,           0.0081721,           0.0050121,           0.0054743,           0.0054743,           0.0054743
                  98,            0.052693,            0.014912,            0.010083,             0.73503,                   1,             0.88423,             0.35169,            0.035248,           0.0081721,           0.0050121,           0.0054271,           0.0054271,           0.0054271
                  99,             0.04878,            0.017435,            0.010481,              0.7581,                   1,             0.90123,             0.29798,             0.04623,           0.0080233,           0.0048019,             0.00538,             0.00538,             0.00538
                 100,            0.054907,            0.017157,           0.0085826,              0.7581,                   1,             0.90123,             0.29798,             0.04623,           0.0080233,           0.0048019,           0.0053329,           0.0053329,           0.0053329
                 101,            0.054046,            0.014161,           0.0089894,             0.74598,             0.95041,             0.93731,             0.51308,            0.033255,           0.0082156,           0.0048869,           0.0052857,           0.0052857,           0.0052857
                 102,            0.046001,             0.01547,            0.011493,             0.74598,             0.95041,             0.93731,             0.51308,            0.033255,           0.0082156,           0.0048869,           0.0052386,           0.0052386,           0.0052386
                 103,            0.047405,            0.016359,           0.0083115,             0.81286,             0.93757,             0.97227,             0.50675,            0.035773,           0.0082359,           0.0054006,           0.0051914,           0.0051914,           0.0051914
                 104,            0.045257,            0.015555,           0.0096282,             0.81286,             0.93757,             0.97227,             0.50675,            0.035773,           0.0082359,           0.0054006,           0.0051443,           0.0051443,           0.0051443
                 105,            0.044336,            0.011501,            0.010343,             0.83316,             0.90754,             0.98167,             0.37389,            0.038324,           0.0081554,           0.0057083,           0.0050971,           0.0050971,           0.0050971
                 106,             0.04543,            0.018539,           0.0099775,             0.83316,             0.90754,             0.98167,             0.37389,            0.038324,           0.0081554,           0.0057083,             0.00505,             0.00505,             0.00505
                 107,            0.044335,           0.0098659,           0.0078111,             0.75347,             0.94981,             0.93801,              0.4078,            0.035145,           0.0079494,           0.0054184,           0.0050029,           0.0050029,           0.0050029
                 108,            0.043328,            0.014112,           0.0084404,             0.75347,             0.94981,             0.93801,              0.4078,            0.035145,           0.0079494,           0.0054184,           0.0049557,           0.0049557,           0.0049557
                 109,            0.042442,            0.015191,            0.008172,             0.67463,             0.98221,             0.90577,             0.47792,            0.037641,           0.0078393,           0.0050057,           0.0049086,           0.0049086,           0.0049086
                 110,            0.047694,            0.016991,             0.01025,             0.67463,             0.98221,             0.90577,             0.47792,            0.037641,           0.0078393,           0.0050057,           0.0048614,           0.0048614,           0.0048614
                 111,            0.044613,             0.01537,            0.009133,             0.79501,             0.94877,             0.93801,             0.41819,            0.032183,           0.0076847,           0.0047979,           0.0048143,           0.0048143,           0.0048143
